Gene,logFC,logCPM,F,PValue,FDR,mouse_gene
AC009299.4,5.021853925447174,5.151449445690134,17.478571823098097,1.74956726888738e-4,0.12035830367984456,NA
MUC16,4.330927525442601,3.0120998755363377,15.83147599129036,3.169565867894371e-4,0.13089514642936778,Muc16
LRRK1,4.225500408995017,9.85898702303685,19.46834723340887,8.767290615746337e-5,0.12035830367984456,Lrrk1
HHLA1,3.963519598931835,7.352936908172918,17.037311641063738,2.0472593139496517e-4,0.12035830367984456,Hhla1
MT1L,3.961348669560041,1.9430751047943868,18.551567587282992,1.20115548748309e-4,0.12035830367984456,NA
C6orf223,3.8402718126193953,2.236462302126356,18.722315659998227,1.1322437546352222e-4,0.12035830367984456,NA
ROCK1P1,3.7829209452477945,4.716341114094099,16.73305677384432,2.2835072792768633e-4,0.12168147337540162,NA
CA8,3.681971595961964,2.1304215671072124,18.940857167538013,1.0500944478821246e-4,0.12035830367984456,Car8
TRIM71,3.653897048490311,1.6872632304032895,18.062728219602292,1.424161433415614e-4,0.12035830367984456,Trim71
MCOLN3,3.607197799889908,2.473014417083198,16.752519541628732,2.267561656567132e-4,0.12168147337540162,Mcoln3
CDC27P1,3.571716229359947,2.454161897842435,13.425947031298149,7.859895202046333e-4,0.1457608296450643,NA
GOLGA6L6,3.483983096843492,2.496670009685168,13.085074984257488,8.977086200051895e-4,0.1457608296450643,NA
SDK1,3.4751814520116784,4.029237644880239,14.15976477817181,5.92589403722247e-4,0.1457608296450643,Sdk1
MGAM2,3.462415506260071,2.072123427899873,18.42313696324075,1.2559096471113e-4,0.12035830367984456,Mgam2-ps
LYPD1,3.423375818732711,2.0005163163879556,19.898837995969355,7.577434604339366e-5,0.12035830367984456,Lypd1
COL22A1,3.3279808165513005,1.137888978131199,13.999985423987663,6.299128746449033e-4,0.1457608296450643,Col22a1
RP11-385D13.1,3.298158326626427,0.9767959021467548,19.896308512532645,7.583903748699863e-5,0.12035830367984456,NA
GRIN2A,3.279986886221001,1.3964928938502223,15.41337298526916,3.6983088651720825e-4,0.13884628214494915,Grin2a
GRIN2B,3.231516976138405,2.9432391153026956,10.861036802029728,0.00219842863215065,0.14889400735503108,Grin2b
COL24A1,3.1875627850284514,2.5754121651769206,15.755482479643527,3.25935593405192e-4,0.13132024554781382,Col24a1
RPL39L,3.1722851176196873,3.4113963766921307,15.910935088444898,3.0784800889222636e-4,0.13089514642936778,Rpl39l
TGM3,3.171074053320676,3.38198161269137,10.103669528461696,0.00301915174820029,0.1533134614249029,Tgm3
MUC19,3.1654159271155087,1.7184226229921156,14.25324751453772,5.718471569928224e-4,0.1457608296450643,NA
DYX1C1,3.1500548909854955,3.096251585651324,19.300442495696732,9.283653916372672e-5,0.12035830367984456,NA
GOLGA6L22,3.12432100208699,3.007594796311402,14.090167403667,6.085498913985708e-4,0.1457608296450643,NA
KSR2,3.1169302386862623,1.8120269736091648,12.910592796352486,9.61316011374371e-4,0.1457608296450643,Ksr2
HHLA2,3.0707159004285383,3.3631050897747095,17.103737490835016,1.99921235081777e-4,0.12035830367984456,NA
GCNT3,3.044697174610412,2.5543444842129412,34.37699103838654,1.0237551604667264e-6,0.01396648710466876,Gcnt3
C2CD4A,3.004012852439498,1.6115842625174508,14.272076670721823,5.677633165197914e-4,0.1457608296450643,C2cd4a
MYH1,2.9979201324445763,0.7159345739779823,32.50081828740894,1.6909603613619186e-6,0.01396648710466876,Myh1
MSC,2.9952274552281426,1.4351808584300998,14.136613734170131,5.978486435661982e-4,0.1457608296450643,Msc
RAB6C-AS1,2.923500841696433,0.959184768961579,12.444232157307688,0.00115601672844491,0.1457608296450643,NA
CYS1,2.86689167138805,1.7455879584632403,7.326173054516332,0.01028797575209292,0.179588640459103,Cys1
NRXN1,2.846678170768234,1.6176424220743189,8.143857728949381,0.00709148063855085,0.16452832678120996,Nrxn1
MT1M,2.8361311168274854,4.417550496284639,7.040897658247011,0.01174278164971241,0.18405048173929303,Mt1
BAGE2,2.823381130214522,3.3891936761743304,12.067242133712492,0.00134400591801803,0.14614823778156685,NA
CALB1,2.821729989399607,2.494882577875729,15.571192741465673,3.4884951308303947e-4,0.13401500247950532,Calb1
CABP1,2.776770961998467,0.8563325769780297,14.244350523412308,5.737876546051442e-4,0.1457608296450643,Cabp1
CACNA1E,2.7467592041998863,1.6602561482880975,10.801708851888987,0.00225320952099254,0.14889400735503108,Cacna1e
HLA-V,2.7347092161869866,6.428946457398115,12.842991572393291,9.872323663951137e-4,0.1457608296450643,NA
SGPP2,2.708366851952635,2.5870647172850507,10.91454139962334,0.00215024069861591,0.14889400735503108,Sgpp2
CCDC169,2.694710968950354,1.090665447688936,15.15260415041804,4.0748559290850286e-4,0.14182157426899883,Ccdc169
TRPV6,2.694493851197091,3.738114306937924,7.304587719680081,0.01039097448613445,0.179588640459103,Trpv6
ANKRD30BL,2.6747241454903876,1.9393505306476384,18.243856620486568,1.3368049605900806e-4,0.12035830367984456,NA
CCL20,2.6607904189864824,3.3895169560977205,9.814586118932835,0.00341386441633405,0.15720502317689944,Ccl20
SULT1C2,2.6388684495185624,4.583909897339126,16.095422151221705,2.877531825915013e-4,0.1286468014254403,Sult1c2
POSTN,2.6304949497410366,4.092049806435862,10.645636146056871,0.0024043845579338,0.14910553616571928,Postn
MMP7,2.62624312055161,2.48778326976052,6.340052685378815,0.01634616739650301,0.20513852524507467,Mmp7
CHRNA7,2.62239564963061,2.4054757159691516,14.004799592058752,6.287525732399247e-4,0.1457608296450643,Chrna7
RP11-515E23.1,2.607158716954914,0.6818212427303929,12.78784270456238,0.00100892470378799,0.1457608296450643,NA
AC026150.6,2.606716061520326,1.4188706275489278,10.676751486160908,0.00237340469518408,0.14908373968101485,NA
CTD-2311M21.2,2.60138892794319,2.8630021897433675,16.19128510403752,2.7786497361228623e-4,0.1286468014254403,NA
CORIN,2.59722673772806,0.7751816683838192,17.20921151542406,1.925360088391125e-4,0.12035830367984456,Corin
PFN1P2,2.581811760936958,1.744235026263173,10.806551162319192,0.00224868429440714,0.14889400735503108,NA
ANKRD30BP2,2.5735519271988383,2.0513753914842545,7.237014081216688,0.01072064631189264,0.18015702586587443,NA
MT-ND6,2.5731115661950916,9.167658224940231,10.01810491604889,0.00313064274501464,0.1533134614249029,mt-Nd6
ABO,2.572758759736843,1.3130399846282268,12.765001363384178,0.0010180569947106,0.1457608296450643,Abo
FNDC1,2.572599208219028,1.877218292556088,9.264310241187474,0.00432571859928673,0.16069697561566404,Fndc1
GLDN,2.566876235363737,1.736639381517415,14.829183303558825,4.599236130188237e-4,0.14436270206016727,Gldn
SCTR,2.562633414705876,2.18360765212513,6.19385576203742,0.01753308593159768,0.21156248831560415,Sctr
POTEC,2.5625891843621535,3.634106809975632,13.501211779443276,7.633725450157594e-4,0.1457608296450643,NA
